player_name,player_id,season,ws,verified
Kobe Bryant,977,2004,10.7,true
Kobe Bryant,977,2005,8.1,true
Kobe Bryant,977,2006,15.3,true
Kobe Bryant,977,2007,13.0,true
Kobe Bryant,977,2008,13.8,true
Kobe Bryant,977,2009,12.7,true
Kobe Bryant,977,2010,9.4,true
Kobe Bryant,977,2011,10.3,true
Kobe Bryant,977,2012,6.2,true
Kobe Bryant,977,2013,10.9,true
Kobe Bryant,977,2014,-0.4,true
Kobe Bryant,977,2015,0.2,true
Kobe Bryant,977,2016,-0.4,true
Larry Bird,1449,1980,11.2,true
Larry Bird,1449,1981,10.8,true
Larry Bird,1449,1982,12.5,true
Larry Bird,1449,1983,14.0,true
Larry Bird,1449,1984,13.6,true
Larry Bird,1449,1985,15.7,true
Larry Bird,1449,1986,15.8,true
Larry Bird,1449,1987,15.2,true
Larry Bird,1449,1988,15.0,true
Larry Bird,1449,1989,0.5,true
Larry Bird,1449,1990,9.5,true
Larry Bird,1449,1991,6.6,true
Larry Bird,1449,1992,5.5,true
LeBron James,2544,2004,5.1,true
LeBron James,2544,2005,14.3,true
LeBron James,2544,2006,16.3,true
LeBron James,2544,2007,13.7,true
LeBron James,2544,2008,15.2,true
LeBron James,2544,2009,20.3,true
LeBron James,2544,2010,18.5,true
LeBron James,2544,2011,15.6,true
LeBron James,2544,2012,14.5,true
LeBron James,2544,2013,19.3,true
LeBron James,2544,2014,15.9,true
LeBron James,2544,2015,10.4,true
LeBron James,2544,2016,13.6,true
LeBron James,2544,2017,12.9,true
LeBron James,2544,2018,14.0,true
LeBron James,2544,2019,7.2,true
LeBron James,2544,2020,9.8,true
LeBron James,2544,2021,5.6,true
LeBron James,2544,2022,7.5,true
LeBron James,2544,2023,5.6,true
LeBron James,2544,2024,8.5,true
LeBron James,2544,2025,7.7,true
LeBron James,2544,2026,5.4,true
Magic Johnson,77142,1980,10.5,true
Magic Johnson,77142,1981,6.4,true
Magic Johnson,77142,1982,12.9,true
Magic Johnson,77142,1983,12.5,true
Magic Johnson,77142,1984,10.2,true
Magic Johnson,77142,1985,12.7,true
Magic Johnson,77142,1986,12.1,true
Magic Johnson,77142,1987,15.9,true
Magic Johnson,77142,1988,10.9,true
Magic Johnson,77142,1989,16.1,true
Magic Johnson,77142,1990,16.5,true
Magic Johnson,77142,1991,15.4,true
Magic Johnson,77142,1996,3.6,true
Michael Jordan,893,1985,14.0,true
Michael Jordan,893,1986,1.5,true
Michael Jordan,893,1987,16.9,true
Michael Jordan,893,1988,21.2,true
Michael Jordan,893,1989,19.8,true
Michael Jordan,893,1990,19.0,true
Michael Jordan,893,1991,20.3,true
Michael Jordan,893,1992,17.7,true
Michael Jordan,893,1993,17.2,true
Michael Jordan,893,1995,2.3,true
Michael Jordan,893,1996,20.4,true
Michael Jordan,893,1997,18.3,true
Michael Jordan,893,1998,15.8,true
Michael Jordan,893,2002,3.3,true
Michael Jordan,893,2003,6.2,true
Moses Malone,77449,1977,8.7,true
Moses Malone,77449,1978,6.1,true
Moses Malone,77449,1979,14.1,true
Moses Malone,77449,1980,11.9,true
Moses Malone,77449,1981,13.7,true
Moses Malone,77449,1982,15.4,true
Moses Malone,77449,1983,15.1,true
Moses Malone,77449,1984,9.5,true
Moses Malone,77449,1985,11.9,true
Moses Malone,77449,1986,8.9,true
Moses Malone,77449,1987,9.4,true
Moses Malone,77449,1988,9.2,true
Moses Malone,77449,1989,10.7,true
Moses Malone,77449,1990,7.7,true
Moses Malone,77449,1991,5.6,true
Moses Malone,77449,1992,7.8,true
Moses Malone,77449,1993,0.1,true
Moses Malone,77449,1994,1.0,true
Moses Malone,77449,1995,0.3,true
Nikola Jokic,203999,2016,6.7,true
Nikola Jokic,203999,2017,9.7,true
Nikola Jokic,203999,2018,10.7,true
Nikola Jokic,203999,2019,11.8,true
Nikola Jokic,203999,2020,9.8,true
Nikola Jokic,203999,2021,15.6,true
Nikola Jokic,203999,2022,15.2,true
Nikola Jokic,203999,2023,14.9,true
Nikola Jokic,203999,2024,17.0,true
Nikola Jokic,203999,2025,16.4,true
Nikola Jokic,203999,2026,14.9,true
Oscar Robertson,600015,1961,13.2,true
Oscar Robertson,600015,1962,15.6,true
Oscar Robertson,600015,1963,16.8,true
Oscar Robertson,600015,1964,20.6,true
Oscar Robertson,600015,1965,17.0,true
Oscar Robertson,600015,1966,16.9,true
Oscar Robertson,600015,1967,17.4,true
Oscar Robertson,600015,1968,12.3,true
Oscar Robertson,600015,1969,12.9,true
Oscar Robertson,600015,1970,11.4,true
Oscar Robertson,600015,1971,12.4,true
Oscar Robertson,600015,1972,8.3,true
Oscar Robertson,600015,1973,8.4,true
Oscar Robertson,600015,1974,5.9,true
Shaquille O'Neal,406,1993,10.4,true
Shaquille O'Neal,406,1994,16.9,true
Shaquille O'Neal,406,1995,14.0,true
Shaquille O'Neal,406,1996,6.9,true
Shaquille O'Neal,406,1997,8.0,true
Shaquille O'Neal,406,1998,10.2,true
Shaquille O'Neal,406,1999,9.0,true
Shaquille O'Neal,406,2000,18.6,true
Shaquille O'Neal,406,2001,14.9,true
Shaquille O'Neal,406,2002,13.2,true
Shaquille O'Neal,406,2003,13.2,true
Shaquille O'Neal,406,2004,9.9,true
Shaquille O'Neal,406,2005,11.0,true
Shaquille O'Neal,406,2006,6.2,true
Shaquille O'Neal,406,2007,2.8,true
Shaquille O'Neal,406,2008,2.8,true
Shaquille O'Neal,406,2009,7.8,true
Shaquille O'Neal,406,2010,3.1,true
Shaquille O'Neal,406,2011,2.7,true
Stephen Curry,201939,2010,4.7,true
Stephen Curry,201939,2011,6.6,true
Stephen Curry,201939,2012,2.2,true
Stephen Curry,201939,2013,11.2,true
Stephen Curry,201939,2014,13.4,true
Stephen Curry,201939,2015,15.7,true
Stephen Curry,201939,2016,17.9,true
Stephen Curry,201939,2017,12.6,true
Stephen Curry,201939,2018,9.1,true
Stephen Curry,201939,2019,9.7,true
Stephen Curry,201939,2020,0.3,true
Stephen Curry,201939,2021,9.0,true
Stephen Curry,201939,2022,8.0,true
Stephen Curry,201939,2023,7.8,true
Stephen Curry,201939,2024,7.2,true
Stephen Curry,201939,2025,7.9,true
