player_id,season,award,all_nba_team
2544,2008,all_nba,1
2544,2008,all_star,
2544,2009,all_nba,1
2544,2009,all_star,
2544,2009,mvp,
2544,2010,all_nba,1
2544,2010,all_star,
2544,2010,mvp,
2544,2011,all_nba,1
2544,2011,all_star,
2544,2012,all_nba,1
2544,2012,all_star,
2544,2012,finals_mvp,
2544,2012,mvp,
2544,2012,ring,
2544,2013,all_nba,1
2544,2013,all_star,
2544,2013,finals_mvp,
2544,2013,mvp,
2544,2013,ring,
2544,2014,all_nba,1
2544,2014,all_star,
2544,2015,all_nba,1
2544,2015,all_star,
2544,2016,all_nba,1
2544,2016,all_star,
2544,2016,finals_mvp,
2544,2016,ring,
2544,2017,all_nba,1
2544,2017,all_star,
2544,2018,all_nba,1
2544,2018,all_star,
2544,2019,all_nba,3
2544,2019,all_star,
2544,2020,all_nba,1
2544,2020,all_star,
2544,2020,finals_mvp,
2544,2020,ring,
2544,2021,all_nba,2
2544,2021,all_star,
2544,2022,all_nba,3
2544,2022,all_star,
2544,2023,all_nba,3
2544,2023,all_star,
2544,2024,all_nba,3
2544,2024,all_star,
2544,2025,all_nba,2
2544,2025,all_star,
2544,2026,all_star,
76003,1970,all_nba,2
76003,1970,all_star,
76003,1971,all_nba,1
76003,1971,all_star,
76003,1971,finals_mvp,
76003,1971,mvp,
76003,1971,ring,
76003,1972,all_nba,1
76003,1972,all_star,
76003,1972,mvp,
76003,1973,all_nba,1
76003,1973,all_star,
76003,1974,all_nba,1
76003,1974,all_star,
76003,1974,mvp,
76003,1975,all_star,
76003,1976,all_nba,1
76003,1976,all_star,
76003,1976,mvp,
76003,1977,all_nba,1
76003,1977,all_star,
76003,1977,mvp,
76003,1978,all_nba,2
76003,1979,all_nba,2
76003,1979,all_star,
76003,1980,all_nba,1
76003,1980,all_star,
76003,1980,mvp,
76003,1980,ring,
76003,1981,all_nba,1
76003,1981,all_star,
76003,1982,all_star,
76003,1982,ring,
76003,1983,all_nba,2
76003,1983,all_star,
76003,1984,all_nba,1
76003,1984,all_star,
76003,1985,all_nba,2
76003,1985,all_star,
76003,1985,finals_mvp,
76003,1985,ring,
76003,1986,all_nba,1
76003,1986,all_star,
76003,1987,all_star,
76003,1987,ring,
76003,1988,all_star,
