player_id,season,team_abbr,gp,mp,pts,trb,ast,fgm,fga,ftm,fta,fg3m,fg3a,stl,blk,tov,po_gp,po_mp,po_pts,po_trb,po_ast,team_srs,ws
708,2012,BOS,60,1864,947,494,175,391,777,162,189,3,9,56,61,107,20,737,384,206,30,2.2602,6.9
708,2013,BOS,68,2022,1004,530,159,422,850,158,201,2,16,78,62,110,6,212,76,82,21,-0.5713,5.6
708,2014,BKN,54,1109,352,358,82,157,356,38,47,0,3,43,40,69,12,250,83,76,16,-1.5784,1.2
708,2015,BKN/MIN,47,952,323,311,77,143,306,36,45,1,7,46,17,46,,,,,,-3.6467,1.9
708,2016,MIN,38,556,122,150,62,54,115,14,21,0,1,28,10,16,,,,,,-3.3823,1.1
893,1985,CHI,82,3144,2313,534,481,837,1625,630,746,9,52,196,69,291,4,171,117,23,34,-0.4963,14.0
893,1986,CHI,18,451,408,64,53,150,328,105,125,3,18,37,21,45,3,135,131,19,17,-3.115,1.5
893,1987,CHI,82,3281,3041,430,377,1098,2279,833,972,12,66,236,125,272,3,128,107,21,18,1.269,16.9
893,1988,CHI,82,3311,2868,449,485,1069,1998,723,860,7,53,259,131,252,10,427,363,71,47,3.7556,21.2
893,1989,CHI,81,3255,2633,652,650,966,1795,674,793,27,98,234,65,290,17,718,591,119,130,2.1303,19.8
893,1990,CHI,82,3197,2753,565,519,1034,1964,593,699,92,245,227,54,247,16,674,587,115,109,2.74,19.0
893,1991,CHI,82,3034,2580,492,453,990,1837,571,671,29,93,223,83,202,17,689,529,108,142,8.566,20.3
893,1992,CHI,80,3102,2404,511,489,943,1818,491,590,27,100,182,75,200,22,920,759,137,127,10.0682,17.7
893,1993,CHI,78,3067,2541,522,428,992,2003,476,569,81,230,221,61,207,19,783,666,128,114,6.1926,17.2
893,1995,CHI,17,668,457,117,90,166,404,109,136,16,32,30,13,35,10,420,315,65,45,4.3108,2.3
893,1996,CHI,82,3090,2491,543,352,916,1850,548,657,111,260,180,42,197,18,733,552,89,74,11.7991,20.4
